Samp_no,Date,Species,Month,Colony,Fv.Fm,Ik,rETRmax,Alpha,SA_cm2,Cells.cm2,Chl_pg.cell,Host_Proteins_mg.cm2,Host_Carbs_mg.cm2,Lipids_Host.mg.cm2.,Host_Stored_energy_J.cm2,Carbs_sym.pg.cell.,Proteins_sym.pg.cell.,Lipids_sym.pg.cell.,Sym_Stored_energy_uJ.cell
90,09/01/2022,Stylophora,January,S9,0.581,3.882450331,17.5875,4.53,2.789,5002636,2.17,1.46,0.21,0.31,51,18.61,33.896,25.689,2.15
91,09/01/2022,Stylophora,January,S3,0.623,3.526315789,15.41,4.37,2.513,7079921,2.08,1.55,0.23, , ,23.37,37.673,10.965,1.74
92,09/01/2022,Stylophora,January,S4,0.617,3.275555556,14.74,4.5,4.443,5614109,2.23,1.76, ,1.06, ,21.87,39.48,17.473,2.02
93,09/01/2022,Stylophora,January,S5,0.602,3.659472422,15.26,4.17,2.789,5349593,1.76,1.43,0.25,1.11,82,18.02,29.416,32.842,2.32
94,09/01/2022,Stylophora,January,S6,0.613,3.443678161,14.98,4.35,2.789,5696550,1.89,1.5,0.3,1.04,82,27.63,41.993,17.309,2.17
95,09/01/2022,Stylophora,January,S7,0.618,3.797139831,17.9225,4.72,3.064,5854480,1.72,1.72,0.26,0.57,68,17.89,37.261,17.653,1.9
96,09/01/2022,Stylophora,January,S8,0.618,3.658045977,15.9125,4.35,3.064,5812872,2,1.8,0.25,0.32,60,25.07,33.894,27.721,2.34
97,04/02/2021,Pocillopora,February,P1,0.525,3.260869565,12.6,3.864,4.443,2783423,1.22,0.71,0.14,0.03,21,32.46,47.468,42.933,3.4
98,04/02/2021,Pocillopora,February,P2,0.563,4.018957346,17.808,4.431,3.34,2272380,1.84,0.54,0.11,0.14,20,26.84,26.397,20.615,1.91
99,04/02/2021,Pocillopora,February,P3,0.58,7.049678801,32.922,4.67,3.892,1778790,2.08,0.51,0.07,0.12,18,34.07,34.593,21.297,2.26
100,04/02/2021,Pocillopora,February,P4,0.543,4.873262032,18.226,3.74,2.237, ,1.83,0.97,0.09,0.09,28,50.29,34.982,10.985,2.15
101,04/02/2021,Pocillopora,February,P5,0.509,4.2,17.64,4.2,2.237,1897673, ,1.05,0.08,0.6,,37.24,43.971,45.591,3.5
102,04/02/2021,Pocillopora,February,P6,0.498,3.661016949,13.608,3.717,3.616,1920684,1.43,0.66,0.04,0.48,35,28.92,37.575,53.794,3.53
103,04/02/2021,Pocillopora,February,P7,0.533,3.700253165,14.616,3.95,2.237,2464293,1.74,0.64,0.14,0.24,27,38.8,73.413,23.158,3.35
104,04/02/2021,Pocillopora,February,P8,0.544,4.983412322,21.03,4.22,2.789,2243117,1.74,0.76,0.11,0.49,39,31.87,66.491,1.124,2.19
105,08/03/2021,Pocillopora,March,P1,0.507,3.450877193,13.769,3.99,5.546,2112170,1.22,0.76,0.14,0.11,25,39.22,32.755,18.938,2.22
106,08/03/2021,Pocillopora,March,P2,0.517,3.718149883,15.8765,4.27,3.34,1573601,1.82,0.72,0.02,0.86, ,49.33,48.447,62.64,4.5
107,08/03/2021,Pocillopora,March,P3,0.577,6.622717149,29.736,4.49,3.34,2045591,1.99,0.78,0.07,0.15,26,35.52,38.928,11.544,2.01
108,08/03/2021,Pocillopora,March,P4,0.539,4.920812808,19.9785,4.06,3.064,1495438,1.95,0.78,0.11,0.54,42,77.84,37.125, ,
109,08/03/2021,Pocillopora,March,P5,0.498,4.004422604,16.298,4.07,5.271,2248304,1.23,0.6,0.08,0.37,31,25.87,32.231,23.42,2.15
110,08/03/2021,Pocillopora,March,P6,0.557,3.567260579,16.017,4.49,3.892,2605552,1.17,0.91,0.13,0.45,42,37.06,55.198,18.521,2.7
111,08/03/2021,Pocillopora,March,P7,0.55,3.032374101,12.645,4.17,4.719,2318788,1.77,0.78,0.15,0.19,29,46.41,44.762,12.752,2.39
112,08/03/2021,Pocillopora,March,P8,0.57,4.177027027,18.546,4.44,3.892,1482004,0.89,0.67,0.07,0.51,37,54.01,43.856,79.824,5.15
113,07/04/2021,Pocillopora,April,P1,0.468,2.436338028,8.649,3.55,5.271,3260041, ,1.16,0.21,0.16,38,24.2,28.559,13.687,1.65
114,07/04/2021,Pocillopora,April,P2,0.544,4.254077253,19.824,4.66,4.995,2560137,1.06,0.86,0.1,0.53,43,33.36,25.761,5.728,1.43
115,07/04/2021,Pocillopora,April,P3,0.521,7.715935879,32.731,4.242,1.685,1540611, ,0.9,0.21,0.34,38,,62.641, ,
116,07/04/2021,Pocillopora,April,P4,0.491,4.123766234,15.8765,3.85,1.961, ,1.9, ,0.07,0.57,40,29.56,70.888,6.521,2.47
117,07/04/2021,Pocillopora,April,P5,0.535,2.741745283,11.625,4.24,3.064,2519319,1.02, ,0.16,0.17,35,36.09,59.502,66.336,4.67
118,07/04/2021,Pocillopora,April,P6,0.476,#DIV/0!,6.138,,3.064, , , ,0.26,0.68, ,103.61,, ,
119,07/04/2021,Pocillopora,April,P7,0.492,3.325664894,12.5045,3.76,3.892,2935100,0.96,0.85,0.16,0.32,36,,32.62,22.68,
120,07/04/2021,Pocillopora,April,P8,0.54,3.878605769,16.135,4.16,2.237,2008315,0.99,1.14,0.16,0.76,60,42.13,36.529, ,
121,05/05/2021,Pocillopora,May,P1,0.555,6.819351464,32.5965,4.78,1.961,2416937,1.25,1.27,0.15,0.72,61,43.76,48.299,106.317,6.12
122,05/05/2021,Pocillopora,May,P2,0.587,5.750390625,29.442,5.12,3.616,2142620,1.36,0.95,0.12,0.37,39,55.56,49.541,42.903,3.85
123,05/05/2021,Pocillopora,May,P3,0.559,9.636807095,43.462,4.51,2.237,1847382,1.01,1.2,0.22,1, ,69.33,73.031,66.597,5.59
124,05/05/2021,Pocillopora,May,P4,0.589,4.649056604,22.176,4.77,1.134, ,1.06, , , , ,36.61,46.91,15.379,2.37
125,05/05/2021,Pocillopora,May,P5,0.587,3.39665272,16.236,4.78,4.719,2285413,0.83,1.15,0.17,0.28,42,33.47,52.59,32.69,3.13
126,05/05/2021,Pocillopora,May,P6,0.598,3.69793578,16.123,4.36,3.616,2868580,0.92, ,0.17, , ,40.82,49.624,30.548,3.11
127,05/05/2021,Pocillopora,May,P7,0.566,4.844924406,22.432,4.63,4.719,2973580,0.69, ,0.16,0.14, ,35.66,18.127,18.583,1.79
128,05/05/2021,Pocillopora,May,P8,0.578,6.760167715,32.246,4.77,9.407,3731070,0.67,1.16,0.23,0.29,43,28.35,42.213,10.917,1.94
129,14/06/2021,Pocillopora,June,P1,0.555,3.430263158,15.642,4.56,4.443,1836485,0.83,0.7,0.1,0.2,26,25.77,22.701,30.707,2.21
130,14/06/2021,Pocillopora,June,P2,0.57,4.125,19.8,4.8,5.271,1161149,0.97,0.74,0.1,0.05,21,40.03,60.835,93.54,5.85
131,14/06/2021,Pocillopora,June,P3,0.611,4.809108159,25.344,5.27,4.719,1249190,1.07,0.99,0.11,0.12,30,42.18,70.163,19.992,3.2
